Time, Rc (Maximum a Posteriori)
339,0.296082377
339,0.296082377
339,0.296082377
339,0.296082377
340,0.304510152
341,0.230181272
342,0.149210152
342,0.149210152
343,0.063870269
343,0.063870269
344,0.032417772
344,0.032417772
346,0.063778518
347,0.311503204
347,0.311503204
348,0.370596388
349,0.318557499
349,0.318557499
351,0.189391645
353,0.149548926
353,0.149548926
353,0.149548926
354,0.267218376
354,0.267218376
354,0.267218376
356,0.263550761
358,0.307752269
358,0.307752269
358,0.307752269
358,0.307752269
360,0.215107342
363,0.07807148
363,0.07807148
365,0
365.9972678,0
367.9918033,0
368.989071,0
368.989071,0
368.989071,0
368.989071,0
369.9863388,0
370.9836066,0
370.9836066,0
372.9781421,0
373.9754098,0
373.9754098,0
373.9754098,0
373.9754098,0
374.9726776,0.247308174
375.9699454,0.225819602
376.9672131,0.198408043
376.9672131,0.198408043
379.9590164,0.086897304
380.9562842,0.043158833
383.9480874,0
383.9480874,0
384.9453552,0
386.9398907,0.183815255
387.9371585,0.161502476
388.9344262,0.13478065
388.9344262,0.13478065
389.931694,0.104261348
389.931694,0.104261348
390.9289617,0.070733674
390.9289617,0.070733674
391.9262295,0.035130927
393.920765,0
393.920765,0
394.9180328,0
394.9180328,0
395.9153005,0
395.9153005,0
396.9125683,0
396.9125683,0
398.9071038,0.130704751
401.8989071,0.188889393
401.8989071,0.188889393
403.8934426,0.26849015
403.8934426,0.26849015
404.8907104,0.583991926
404.8907104,0.583991926
405.8879781,0.565639522
405.8879781,0.565639522
406.8852459,0.423411336
406.8852459,0.423411336
407.8825137,0.310218142
407.8825137,0.310218142
408.8797814,0.302893697
413.8661202,0.628532446
414.863388,0.601193224
415.8606557,0.498570895
415.8606557,0.498570895
415.8606557,0.498570895
418.852459,0.121547132
419.8497268,0.038135125
420.8469945,0
420.8469945,0
421.8442623,0
424.8360656,0.147655472
424.8360656,0.147655472
424.8360656,0.147655472
425.8333333,0.15064574
425.8333333,0.15064574
426.8306011,0.125720244
427.8278689,0.097252552
429.8224044,0.032769308
430.8196721,0
430.8196721,0
432.8142077,0
432.8142077,0
433.8114754,0
433.8114754,0
434.8087432,0
434.8087432,0
434.8087432,0
435.8060109,0.116979574
435.8060109,0.116979574
437.8005464,0.165046692
438.7978142,0.242481475
439.795082,0.250071049
439.795082,0.250071049
439.795082,0.250071049
441.7896175,0.425272429
441.7896175,0.425272429
441.7896175,0.425272429
441.7896175,0.425272429
442.7868852,0.554714506
443.784153,0.461038027
444.7814208,0.343578302
445.7786885,0.247664323
446.7759563,0.146171955
447.773224,0.936217218
448.7704918,0.987492029
448.7704918,0.987492029
449.7677596,0.842897883
452.7595628,0.469483342
456.7486339,0.336189034
456.7486339,0.336189034
456.7486339,0.336189034
457.7459016,0.371335679
458.7431694,0.534881137
458.7431694,0.534881137
458.7431694,0.534881137
459.7404372,0.641351333
459.7404372,0.641351333
459.7404372,0.641351333
459.7404372,0.641351333
461.7349727,0.790378025
461.7349727,0.790378025
462.7322404,0.824184133
462.7322404,0.824184133
463.7295082,0.620664202
464.726776,0.444373216
464.726776,0.444373216
465.7240437,0.257952329
466.7213115,0.128007133
466.7213115,0.128007133
466.7213115,0.128007133
469.7131148,0
469.7131148,0
469.7131148,0
469.7131148,0
470.7103825,0
470.7103825,0
471.7076503,0
473.7021858,0.204800306
473.7021858,0.204800306
474.6994536,0.198855741
475.6967213,0.153827479
475.6967213,0.153827479
475.6967213,0.153827479
475.6967213,0.153827479
475.6967213,0.153827479
475.6967213,0.153827479
476.6939891,0.159128002
476.6939891,0.159128002
476.6939891,0.159128002
477.6912568,0.14789629
477.6912568,0.14789629
477.6912568,0.14789629
478.6885246,0.074311592
478.6885246,0.074311592
478.6885246,0.074311592
478.6885246,0.074311592
478.6885246,0.074311592
479.6857923,0.144024503
479.6857923,0.144024503
480.6830601,0.124136354
480.6830601,0.124136354
480.6830601,0.124136354
